lucide_backend  | 2025-12-23 11:29:18,662 - httpx - INFO - HTTP Request: GET https://v3.football.api-sports.io/fixtures?league=6&season=2025&date=2025-12-23 "HTTP/1.1 200 OK"
lucide_backend  | 2025-12-23 11:29:18,665 - backend.api.football_api - INFO - API Response: 4 results
lucide_backend  | INFO:     172.22.0.1:56710 - "GET /api/fixtures?league_id=6&date=2025-12-23 HTTP/1.1" 200 OK
lucide_backend  | 2025-12-23 11:29:18,690 - backend.api.football_api - INFO - Cache HIT for fixtures {'league': 6, 'season': 2025, 'date': '2025-12-23'}
lucide_backend  | INFO:     172.22.0.1:56698 - "GET /api/fixtures?league_id=6&date=2025-12-23 HTTP/1.1" 200 OK
lucide_backend  | INFO:     172.22.0.1:47026 - "POST /chat HTTP/1.1" 401 Unauthorized
lucide_backend  | 2025-12-23 18:10:54,726 - backend.auth.router - INFO - User user2@example.com logged in successfully
lucide_backend  | INFO:     172.22.0.1:60350 - "POST /auth/login HTTP/1.1" 200 OK
lucide_backend  | 2025-12-23 18:11:09,153 - backend.main - INFO - Creating new session for user user2@example.com (ID: user_a95dbff5-8ce6-45e9-b40e-326dadecd070)
lucide_backend  | 2025-12-23 18:11:09,288 - backend.llm.client - INFO - LLM client initialised with DeepSeek
lucide_backend  | 2025-12-23 18:11:09,310 - backend.llm.client - INFO - LLM client initialised with OpenAI
lucide_backend  | 2025-12-23 18:11:09,331 - backend.llm.client - INFO - LLM client initialised with OpenAI
lucide_backend  | 2025-12-23 18:11:09,386 - backend.store.match_context_store - INFO - MatchContextStore initialized at data/match_contexts
lucide_backend  | 2025-12-23 18:11:09,389 - backend.main - INFO - Processing message for session user_a95dbff5-8ce6-45e9-b40e-326dadecd070: Analyse le match RD Congo vs Benin...
lucide_backend  | 2025-12-23 18:11:14,171 - httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
lucide_backend  | 2025-12-23 18:11:16,570 - httpx - INFO - HTTP Request: POST https://api.openai.com/v1/chat/completions "HTTP/1.1 200 OK"
lucide_backend  | 2025-12-23 18:11:16,614 - backend.agents.tool_agent - INFO - Executing tool search_team with args {'team_name': 'RD Congo'}
lucide_backend  | 2025-12-23 18:11:16,616 - backend.api.football_api - INFO - API Request: teams with params: {'search': 'RD Congo'}
lucide_backend  | 2025-12-23 18:11:16,618 - backend.agents.tool_agent - INFO - Executing tool search_team with args {'team_name': 'Benin'}
lucide_backend  | 2025-12-23 18:11:16,618 - backend.api.football_api - INFO - API Request: teams with params: {'search': 'Benin'}
lucide_backend  | 2025-12-23 18:11:16,741 - httpx - INFO - HTTP Request: GET https://v3.football.api-sports.io/teams?search=Benin "HTTP/1.1 200 OK"
lucide_backend  | 2025-12-23 18:11:16,753 - backend.api.football_api - INFO - API Response: 52 results
lucide_backend  | 2025-12-23 18:11:16,755 - backend.tools.football - INFO - Tool search_team executed in 0.135s with args={'team_name': 'Benin'}
